Date,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2017-08-17,1502928000000,301.13,312.18,298.0,302.0,7030.71034,1503014399999,2154655.3003566,4522,6224.58999,1908705.3685302,0
2017-08-18,1503014400000,302.0,311.79,283.94,293.96,9537.84646,1503100799999,2858946.5093539,5658,7452.43542,2240813.2612264,0
2017-08-19,1503100800000,293.31,299.9,278.0,290.91,2146.19773,1503187199999,620022.5898617,1795,1537.9755,444713.6122086,0
2017-08-20,1503187200000,289.41,300.53,282.85,299.1,2510.13871,1503273599999,742847.8945599,2038,2186.68739,647506.0620205,0
2017-08-21,1503273600000,299.1,346.52,294.6,323.29,5219.44542,1503359999999,1689472.341214,3925,4004.19967,1297977.4231142,0
2017-08-22,1503360000000,321.04,330.41,144.21,309.8,7956.35088,1503446399999,2454425.8033137,6577,4433.78132,1364472.488333,0
2017-08-23,1503446400000,312.25,324.99,309.41,315.74,8665.72569,1503532799999,2753464.9450408,8540,2282.23633,728206.9176149,0
2017-08-24,1503532800000,315.74,328.04,314.01,323.42,6753.27192,1503619199999,2159417.1141537,6495,1901.90029,610929.1471679,0
2017-08-25,1503619200000,323.42,338.28,323.42,327.24,7125.96962,1503705599999,2354162.038294,7452,2595.82561,859314.6835184,0
2017-08-26,1503705600000,327.24,335.44,323.41,330.79,4877.68521,1503791999999,1601994.3773166,4400,941.99655,311132.2631003,0
2017-08-27,1503792000000,332.18,348.13,330.73,348.13,4635.43715,1503878399999,1554477.3581603,4973,1166.20029,392130.1151986,0
2017-08-28,1503878400000,348.11,351.0,331.95,346.0,4279.1817,1503964799999,1463758.1691041,4526,1114.26279,383473.9889103,0
2017-08-29,1503964800000,347.0,377.6,346.0,374.7,3032.13425,1504051199999,1102069.6205809,3265,923.16784,334768.8104693,0
2017-08-30,1504051200000,374.7,393.71,362.05,385.93,4446.59608,1504137599999,1679526.2125115,4812,1285.37799,487837.7447577,0
2017-08-31,1504137600000,384.64,389.36,377.78,384.79,4435.86855,1504223999999,1704441.3942666,4574,1432.19381,550808.610884,0
2017-09-01,1504224000000,386.44,394.39,383.18,388.46,4198.68434,1504310399999,1635227.6137661,4124,1564.05531,609630.9497713,0
2017-09-02,1504310400000,388.58,394.32,320.08,343.14,8240.32724,1504396799999,2904008.4613861,8217,2460.66776,868487.2833919,0
2017-09-03,1504396800000,343.56,367.28,320.08,341.77,5253.62211,1504483199999,1801702.6178029,6153,2240.91753,767938.2521776,0
2017-09-04,1504483200000,339.29,344.55,267.94,283.77,6737.81061,1504569599999,2002446.181802,7403,2954.16805,877011.1066647,0
2017-09-05,1504569600000,286.81,321.52,235.55,312.09,8344.41924,1504655999999,2397490.9178386,8999,4312.97282,1251958.9913116,0
2017-09-06,1504656000000,313.29,336.34,312.09,335.0,5486.30988,1504742399999,1793962.8584994,7089,2183.65363,713126.1017199,0
2017-09-07,1504742400000,335.01,342.5,320.17,334.49,3103.89745,1504828799999,1027135.6869524,2635,1321.09841,438034.1732964,0
2017-09-08,1504828800000,334.49,335.1,272.0,302.99,4915.75693,1504915199999,1494309.8866163,3227,2306.94838,698362.8493954,0
2017-09-09,1504915200000,300.01,307.0,281.66,296.74,2740.58822,1505001599999,813750.3589359,1956,1755.91508,520754.9145735,0
2017-09-10,1505001600000,296.72,302.78,261.03,293.5,4156.45099,1505087999999,1181903.7721999,2494,2282.40311,651266.4580305,0
2017-09-11,1505088000000,293.51,304.98,285.21,297.3,4829.64647,1505174399999,1436811.8161569,3490,2412.24221,718382.7521632,0
2017-09-12,1505174400000,297.78,316.46,286.01,293.96,5176.31402,1505260799999,1573452.4124519,5279,2207.60465,671349.2542697,0
2017-09-13,1505260800000,293.93,294.5,257.05,276.91,6451.22836,1505347199999,1761080.8976069,4527,3264.55673,890399.3695974,0
2017-09-14,1505347200000,275.76,283.77,215.0,215.21,12601.95676,1505433599999,3110767.7805647,8166,4455.23882,1100931.1454267,0
2017-09-15,1505433600000,217.0,270.93,192.0,253.0,14223.8953,1505519999999,3319311.826735,9198,5945.8076,1386660.0368027,0
2017-09-16,1505520000000,255.99,271.81,235.51,249.31,10362.06011,1505606399999,2647152.3723708,8859,3866.60141,995005.3267045,0
2017-09-17,1505606400000,249.32,264.39,239.02,257.55,4614.53337,1505692799999,1149704.2949294,5277,1442.00382,360268.4738608,0
2017-09-18,1505692800000,257.53,306.22,257.11,294.57,4125.97051,1505779199999,1182937.633574,3440,2342.68408,669740.5214988,0
2017-09-19,1505779200000,296.0,300.0,277.41,284.0,1869.90852,1505865599999,535773.5652001,1896,789.82937,226839.7065421,0
2017-09-20,1505865600000,284.01,294.0,275.91,282.0,1060.56734,1505951999999,302739.7337531,1431,566.64637,162290.4185872,0
2017-09-21,1505952000000,285.1,287.0,252.1,257.0,1912.55583,1506038399999,516193.1970608,2751,579.77742,156157.9954675,0
2017-09-22,1506038400000,258.0,272.97,253.01,264.0,1464.5125,1506124799999,382962.217943,2144,612.61937,160401.2878139,0
2017-09-23,1506124800000,259.99,286.23,255.11,285.93,2824.33572,1506211199999,788810.3244239,3901,841.43467,233418.256899,0
2017-09-24,1506211200000,286.5,294.61,275.0,282.0,5575.54422,1506297599999,1582877.4871329,8022,1314.52754,373569.556758,0
2017-09-25,1506297600000,282.0,299.0,281.34,294.42,5870.48035,1506383999999,1705551.9921018,9165,1950.58866,567363.4490881,0
2017-09-26,1506384000000,294.42,296.81,286.24,287.9,4566.92804,1506470399999,1332125.1654396,7329,1073.93969,313528.6412562,0
2017-09-27,1506470400000,289.91,313.0,286.13,309.74,5518.10382,1506556799999,1641896.8743651,8208,1276.45702,380606.4657897,0
2017-09-28,1506556800000,309.81,311.81,296.89,302.44,6600.90922,1506643199999,2009233.8887105,10534,2210.54916,674345.9209191,0
2017-09-29,1506643200000,302.44,303.0,274.0,292.22,11089.19902,1506729599999,3213725.0903979,13098,5176.62946,1501566.8615152,0
2017-09-30,1506729600000,292.62,307.49,292.22,304.36,4020.60795,1506815999999,1214456.8380462,8168,1645.11941,497660.508059,0
2017-10-01,1506816000000,305.13,306.0,294.0,303.95,5060.05758,1506902399999,1518988.30299,8900,1496.73509,449595.1195591,0
2017-10-02,1506902400000,303.94,305.0,295.0,296.5,3710.83747,1506988799999,1116501.2248122,7454,1398.52021,421273.0243823,0
2017-10-03,1506988800000,298.15,301.99,283.18,292.48,5546.85702,1507075199999,1622460.7267746,9327,2105.27684,616540.7336968,0
2017-10-04,1507075200000,292.47,297.97,288.0,291.99,4014.88792,1507161599999,1176260.2171869,7233,2030.795,596758.0568808,0
2017-10-05,1507161600000,290.0,297.44,285.53,294.81,3412.39016,1507247999999,994768.4954065,6125,1684.82069,492521.5792853,0
2017-10-06,1507248000000,294.78,310.8,293.78,310.8,3541.02359,1507334399999,1063779.3539251,6064,1965.17959,590729.7618607,0
2017-10-07,1507334400000,309.9,318.5,303.6,311.01,2165.79076,1507420799999,672026.6685328,4289,1031.34817,320575.6411122,0
2017-10-08,1507420800000,311.08,317.07,309.0,311.07,2960.93198,1507507199999,923989.787554,6247,1069.23508,334539.357012,0
2017-10-09,1507507200000,311.13,312.13,286.65,297.19,4885.37863,1507593599999,1462524.6249531,8680,1575.93338,472759.5852128,0
2017-10-10,1507593600000,297.35,308.56,293.0,298.64,6749.27468,1507679999999,2028540.4729273,9392,3979.8636,1200692.0389299,0
2017-10-11,1507680000000,300.88,305.5,298.02,304.01,3724.6863,1507766399999,1125331.5033572,4079,1923.79902,581977.2978289,0
2017-10-12,1507766400000,304.01,310.0,302.71,303.99,7827.75596,1507852799999,2397065.1633671,4956,3436.20226,1053317.9715572,0
2017-10-13,1507852800000,303.52,353.96,297.0,337.96,17925.36585,1507939199999,5832987.2559101,9898,7538.17104,2469530.2629596,0
2017-10-14,1507939200000,337.96,349.8,335.0,342.0,7731.96469,1508025599999,2655702.1145455,5703,3790.50687,1304246.7919927,0
2017-10-15,1508025600000,342.0,348.0,316.17,337.96,10011.34708,1508111999999,3326752.5971166,6822,4957.44824,1652285.7219957,0
2017-10-16,1508112000000,337.5,354.0,332.78,335.19,8663.47097,1508198399999,2956522.0417874,6586,4424.03339,1511172.9129401,0
2017-10-17,1508198400000,335.18,336.58,312.65,315.19,8146.74356,1508284799999,2638150.8892904,6837,3297.06736,1069520.4162513,0
2017-10-18,1508284800000,315.19,318.0,284.68,309.7,12908.0454,1508371199999,3915770.1544675,9801,6592.08304,2005598.3141489,0
2017-10-19,1508371200000,311.52,315.0,300.0,308.66,8678.74739,1508457599999,2675399.8602425,6769,4110.58984,1269506.2481589,0
