,symbol,time,side,entry_price,base_units,quote_units,strategy
3466108,ETHUSDT,2023-08-12 03:54:09.131,BUY,1847.82,0.05222,96.4931604,Breakout
1483706,XRPUSDT,2023-08-12 03:58:05.668000,BUY,0.6297,138.9,87.46533,Breakout
