,symbol,time,side,entry_price,base_units,quote_units,strategy
3806597,BTCUSDT,2023-08-12 03:53:37.361,BUY,29405.0,0.00437,128.49985,MAC
296411,TRXUSDT,2023-08-12 03:59:09.107000,BUY,0.07738,1272.9,98.497002,MAC
