,BTCUSDT,ETHUSDT,LTCUSDT,TRXUSDT,XRPUSDT
2023-08-07 06:59:39.791442,128.5,96.5,85.0,98.5,87.5
2023-08-07 06:59:59.634835,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:17:03.546841,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:53:37.193598,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:59:08.750833,128.5,96.5,85.0,98.5,87.5
2023-08-12 13:52:39.823593,128.5,96.5,85.0,98.5,87.5
