,BTCUSDT,ETHUSDT,LTCUSDT,TRXUSDT,XRPUSDT
2023-08-07 07:01:50.866249,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:17:45.651583,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:54:08.934327,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:58:05.390229,128.5,96.5,85.0,98.5,87.5
