,BTCUSDT,ETHUSDT,LTCUSDT,TRXUSDT,XRPUSDT
2023-08-07 07:02:16.567546,128.5,96.5,85.0,98.5,87.5
2023-08-07 07:02:32.628286,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:17:09.455994,128.5,96.5,85.0,98.5,87.5
2023-08-12 03:53:45.551723,128.5,96.5,85.0,98.5,87.5
